Lap, HeartRate,
0:02:00.3,	167,
0:02:01.4,	170,
0:02:02.3,	163,
0:01:57.1,	158,
0:02:01.9,	159,
0:02:01.6,	159,
0:02:02.0,	156,
0:01:59.4,	159,
0:02:00.7,	162,
0:01:59.7,	162,
0:02:00.8,	161,
0:01:59.0,	165,
0:01:59.4,	162,
0:01:57.7,	165,
0:01:59.9,	163,
0:02:00.5,	159,
0:02:01.4,	162,
0:01:59.5,	162,
0:01:59.6,	166,
0:02:00.7,	163,
0:02:00.3,	163,
0:02:00.2,	164,
0:02:00.9,	163,
0:02:01.4,	163,
0:02:01.7,	161,
0:02:02.0,	163,
0:02:02.4,	162,
0:02:02.3,	160,
0:02:00.8,	163,
0:02:01.2,	165,
0:02:02.1,	161,
0:02:02.1,	161,
0:02:02.4,	160,
0:02:03.6,	160,
0:02:02.4,	161,
0:02:02.6,	160,
0:02:02.4,	163,
0:02:00.9,	163,
0:02:01.9,	163,
0:02:00.8,	164,
0:02:01.4,	164,
0:01:58.4,	167,
0:01:58.9,	167,
0:01:59.1,	168,
0:01:59.1,	167,
0:01:58.9,	167,
0:01:58.5,	168,
0:01:54.8,	170,
0:01:51.7,	173,